Reference,Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Impact.Factor.2019,Journal.Publisher,Paper.doi,Paper.Notes,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Population.Trend,Location,Location.GPS,Latitude,Longitude,Wild.Managed.Captive,Management,Population.Type,Interventions,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size,Av.Clutch.Size.lower,Av.Clutch.Size.upper,Av.Clutch.Size.Mean,log.Clutch.Size,10^.Clutch.Size,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.min,Eggs.StudyClutch.max,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Proportion,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition,Other.Observations,Notes
Mansouri et al.,2020,Mansouri et al. 2020,Mansouri et al. 2020,"The Turtle Dove (Streptopelia turtur) in Midelt plain, Morocco: nesting preferences and breeding success versus the impact of predation and agricultural practices",Journal of Animal Behaviour and Biometeorology,NA,Universidade Federal Rural do Semi-Arido,﻿10.31893/jabb.20027,NA,YES,YES,NO,2015,2015,1,Columbiformes,Columbidae,European Turtle-dove/Turtle Dove,Streptopelia_turtur,Streptopelia_turtur,Streptopelia turtur,Streptopelia_turtur,VU,VU,VU,Threatened,Threatened,NA,,Decreasing,"﻿Ait Ayach valley, Midelt province, Morocco","32°41'N, 4°44'W",32.6833330,-4.7333330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,6.060606061,93.93939394,0.00,0.00,,,,NA,NA,NA,NA,0.2955671,1.975,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,132,124,0.939393939,Not stated,Not stated,Not stated,NA,NA,NA,,"Calculated HS % (without predation, damaged, abandoned) from table 5"
Massoni et al.,2007,Massoni et al. 2007,Massoni et al. 2007,"Breeding biology of the White-rumped Swallow Tachycineta leucorrhoa in Buenos Aires Province, Argentina",Ibis,2.076,Wiley-Blackwell,﻿10.1111/j.1474-919X.2006.00589.x,Found in Wilson (2019) Table 4,YES,YES,NO,2002,2005,3,Passeriformes,Hirundinidae,White-rumped Swallow,Tachycineta_leucorrhoa,Tachycineta_leucorrhoa,Tachycineta leucorrhoa,Tachycineta_leucorrhoa,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"﻿Instituto Tecnológico de Chascomús, CONICET, beside Chascomús lagoon, Buenos Aires Province, Argentina","﻿35°34′S, 58°01′W",-35.5666670,-58.0166670,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,16,84,3.00,NA,,,,4.92 ± 0.05,4.87,4.97,4.92,0.72427587,5.3,NA,NA,NA,NA,NA,80,NA,80,NA,389.6,397.6,393.6,424,NA,NA,393.6,330.624,0.84,"""",Proportion of eggs present in the nest at the end of incubation that hatched,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,Egg survival = 78,NA
Metallaoui et al.,2020,Metallaoui et al. 2020,Metallaoui et al. 2020,Breeding ecology of the Cattle Egret (Bubulcus ibis) in Guerbes-Sanhadja wetlands of Algeria,Regional Studies in Marine Science,1.183,Elsevier,﻿10.1016/j.rsma.2019.100979,NA,YES,YES,NO,2014,2014,1,Pelecaniformes,Ardeidae,Cattle Egret,Bubulcus_ibis,Bubulcus_ibis,Bubulcus ibis,Bubulcus_ibis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Ouajaa marsh, Guerbes-Sandhadja wetlands, northern Algeria","﻿36°53′19.2′′N,﻿ 7°18′56.3′′E",36.8886670,7.3155560,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,20.9,79.1,0.00,0.00,,,,3.43 ± 0.91,2.52,4.34,3.43,0.625541099,4.222222333,NA,NA,NA,NA,NA,53,NA,53,182,133.56,230.02,181.79,223.7777837,NA,NA,182,143.962,0.791,"""",Number of eggs hatched/clutch size * 100,Percentage/Proportion of eggs that hatched relative to clutch size,NA,NA,NA,,"Hatching success definition doesn't exclude predation/desertion, but text stated no evidence of predation activity observed"
Millus et al.,2007,Millus et al. 2007,Millus et al. 2007,Experimental control of a native predator may improve breeding success of a threatened seabird in the California Channel Islands,Biological Conservation,4.711,Elsevier,﻿10.1016/j.biocon.2007.05.017,NA,YES,YES,NO,2004,2004,1,Charadriiformes,Alcidae,Scripps's Murrelet/Xantus's Murrelet,Synthliboramphus_scrippsi/Synthliboramphus_hypoleucus_scrippsi,Synthliboramphus_scrippsi,Synthliboramphus hypoleucus,Synthliboramphus_hypoleucus,SUBSPECIES,VU,VU,Threatened,Threatened,NA,Not Listed (US FWS),Decreasing,"Santa Barbara Island, California, USA","33°28'N, 119°2'W",33.4666670,-119.0333330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,6.818181818,93.18181818,0.00,0.00,,,,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,44,41,0.931818182,Not stated,Not stated,Not stated,NA,NA,NA,,"Recalculated HS % from text and Table 2 - 41 eggs hatched, 3 addled"
Mohamadian et al.,2019,Mohamadian et al. 2019,Mohamadian et al. 2019,Reproductive performance of the Middle Spotted Woodpecker Dendrocoptes medius around Yasouj city (South Western Iran),Ornis Hungarica,NA,Birdlife International,﻿10.2478/orhu-2019-0017,NA,YES,YES,NO,2018,2018,1,Piciformes,Picidae,Middle Spotted Woodpecker,Leiopicus_medius/Dendrocoptes_medius/Dendrocopos_medius,Leiopicus_medius,Dendrocopos medius,Dendrocopos_medius,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,Southwestern Iran,"﻿31°35’N, 51°38’E",31.5833330,51.6333330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,10,90,0.00,0.00,,,,4.29 ± 1.25,3.04,5.54,4.29,0.749478638,5.6166665,NA,NA,NA,NA,NA,7,NA,7,30,21.28,38.78,30.03,39.3166655,NA,NA,30,27,0.9,"""",Percentage of eggs that hatched out of eggs laid,Percentage/Proportion of eggs that hatched out of eggs laid [aka Hatching Rate],NA,NA,[Hatching Rate] Eggs laid divided by hatchlings,,Treated nests with destroyed eggs or abandoned as incomplete clutches - excluded?
Møller et al.,2005,Møller et al. 2005,Møller et al. 2005 (01),"Condition, reproduction and survival of barn swallows from Chernobyl",Journal of Animal Ecology,4.554,Wiley-Blackwell,﻿10.1111/j.1365-2656.2005.01009.x,NA,YES,YES,NO,1991,2004,6,Passeriformes,Hirundinidae,Barn Swallow,Hirundo_rustica,Hirundo_rustica,Hirundo rustica,Hirundo_rustica,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Chernobyl, Ukraine",NA,51.4289627,30.2372532,Wild,Unmanaged,Contaminated Site (Radiation),None,Natural,No,No,No,No,No,No,No,No,5.877342419,94.12265758,0.99,NA,,,,4.27260274±(4.34109589-4.27260274),4.20410959,4.34109589,4.27260274,0.652246341,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""",Brood size divided by clutch size,Brood size relative to clutch size,NA,NA,NA,,HS% and clutch size extracted from Figure 2 using WebPlotDigitizer
Møller et al.,2005,Møller et al. 2005,Møller et al. 2005 (02),"Condition, reproduction and survival of barn swallows from Chernobyl",Journal of Animal Ecology,4.554,Wiley-Blackwell,﻿10.1111/j.1365-2656.2005.01009.x,NA,YES,YES,NO,1991,2004,6,Passeriformes,Hirundinidae,Barn Swallow,Hirundo_rustica,Hirundo_rustica,Hirundo rustica,Hirundo_rustica,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Kanev, Ukraine",NA,49.8905826,31.5298236,Wild,Unmanaged,Reference Site,None,Natural,No,No,No,No,No,No,No,No,1.379897785,98.62010221,0.78,NA,,,,4.591780822±(4.671232877-4.591780822),4.512328767,4.671232877,4.591780822,0.652246341,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""",Brood size divided by clutch size,Brood size relative to clutch size,NA,NA,NA,,HS% and clutch size extracted from Figure 2 using WebPlotDigitizer
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (01),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol 8,NO,YES,NO,NA,NA,NA,Passeriformes,Fringillidae,Redpoll,Acanthis_flammea/Carduelis_flammea,Acanthis_flammea,Carduelis flammea,Carduelis_flammea,NA,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,10.7,89.3,NA,NA,,,5,NA,NA,NA,NA,0.692406235,4.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (02),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol 6,NO,YES,NO,NA,NA,NA,Passeriformes,Acrocephalidae,Common Reed-Warbler/Eurasian Reed Warbler,Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,Acrocephalus scirpaceus,Acrocephalus_scirpaceus,NA,LC,LC,Non-threatened,Non-threatened,NA,,Stable,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,12.4,87.6,NA,NA,,,4,NA,NA,NA,NA,0.593839661,3.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,Can't see where HS% taken from,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (03),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol 4,NO,YES,NO,NA,NA,NA,Strigiformes,Strigidae,Boreal Owl/Tengmalm's Owl ,Aegolius_funereus,Aegolius_funereus,Aegolius funereus,Aegolius_funereus,NA,LC,LC,Non-threatened,Non-threatened,NA,,Stable,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,17.8,82.2,NA,NA,,,5.29,NA,NA,NA,NA,0.686412809,4.8575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (04),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol 1,NO,YES,NO,NA,NA,NA,Anseriformes,Anatidae,Mallard,Anas_platyrhynchos,Anas_platyrhynchos,Anas platyrhynchos,Anas_platyrhynchos,NA,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,3.8,96.2,NA,NA,,,10.53,NA,NA,NA,NA,1.015918334,10.37333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (05),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol 4,NO,YES,NO,NA,NA,NA,Caprimulgiformes,Apodidae,Alpine Swift,Tachymarptis_melba/Apus_melba,Tachymarptis_melba,Tachymarptis melba,Tachymarptis_melba,NA,LC,LC,Non-threatened,Non-threatened,NA,,Stable,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,6,94,NA,NA,,,2.6,NA,NA,NA,NA,0.389166084,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (06),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol 1,NO,YES,NO,NA,NA,NA,Anseriformes,Anatidae,Common Pochard,Aythya_ferina,Aythya_ferina,Aythya ferina,Aythya_ferina,NA,VU,VU,Threatened,Threatened,NA,,Decreasing,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,9.7,90.3,NA,NA,,,8.54,NA,NA,NA,NA,0.942504106,8.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (07),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol 1,NO,YES,NO,NA,NA,NA,Anseriformes,Anatidae,Tufted Duck,Aythya_fuligula,Aythya_fuligula,Aythya fuligula,Aythya_fuligula,NA,LC,LC,Non-threatened,Non-threatened,NA,,Stable,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,5,95,NA,NA,,,9.5,NA,NA,NA,NA,0.978864984,9.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (08),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol ?,NO,YES,NO,NA,NA,NA,Psittaciformes,Psittacidae,Australian Ringneck,Barnardius_zonarius,Barnardius_zonarius,Barnardius zonarius,Barnardius_zonarius,NA,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,17,83,NA,NA,,,NA,NA,NA,NA,NA,0.701136066,5.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (09),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol 3,NO,YES,NO,NA,NA,NA,Charadriiformes,Burhinidae,Eurasian Thick-knee/Stone Curlew,Burhinus_oedicnemus,Burhinus_oedicnemus,Burhinus oedicnemus,Burhinus_oedicnemus,NA,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,1.6,98.4,NA,NA,,,1.9,NA,NA,NA,NA,0.2955671,1.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (10),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol 2,NO,YES,NO,NA,NA,NA,Accipitriformes,Accipitridae,Eurasian Buzzard/Common Buzzard,Buteo_buteo,Buteo_buteo,Buteo buteo,Buteo_buteo,NA,LC,LC,Non-threatened,Non-threatened,NA,,Stable,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,6,94,NA,NA,,,3,NA,NA,NA,NA,0.481920138,3.033333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (11),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol 2,NO,YES,NO,NA,NA,NA,Accipitriformes,Accipitridae,Montagu's Harrier,Circus_pygargus,Circus_pygargus,Circus pygargus,Circus_pygargus,NA,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,5.7,94.3,NA,NA,,,4.5,NA,NA,NA,NA,0.630936119,4.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
Møller et al.,2010,Møller et al. 2010,Møller et al. 2010 (12),"Ectoparasites, uropygial glands and hatching success in birds",Oecologia,2.654,Springer,﻿10.1007/s00442-009-1548-x,HS sourced from Cramp & Perrins (1977-1994) - vol 4,NO,YES,NO,NA,NA,NA,Columbiformes,Columbidae,Common Woodpigeon,Columba_palumbus,Columba_palumbus,Columba palumbus,Columba_palumbus,NA,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,NA,NA,NA,NA,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,13,87,NA,NA,,,1.86,NA,NA,NA,NA,0.284806546,1.9266665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA,,"Life history information (Male/Female body mass, egg mass, average clutch size, incubation type, social organisation, incubation period, nest type, diet type) taken from Johnsen (2019)"
